code;languageName;nativeName;isRTL
aa;Afar;Qafaraf;false
ab;Abkhazian;Аҧсуа;false
ae;Avestan;avesta;false
af;Afrikaans;Afrikaans;false
ak;Akan;Akan;false
am;Amharic;አማርኛ;false
an;Aragonese;Aragonés;false
ar;Arabic;العربية;true
as;Assamese;অসমীয়া;false
sq;Albanian;Shqip;false
av;Avaric;авар мацӀ / магӀарул мацӀ;false
ay;Aymara;aymar aru;false
az;Azerbaijani;azərbaycan dili;false
ba;Bashkir;башҡорт теле;false
be;Belarusian;Беларуская;false
bg;Bulgarian;български език;false
bh;Bihari languages;भोजपुरी;false
bi;Bislama;Bislama;false
bm;Bambara;bamanankan;false
bn;Bengali;বাংলা;false
bo;Tibetan;བོད་ཡིག;false
br;Breton;brezhoneg;false
bs;Bosnian;bosanski jezik;false
ca;Catalan / Valencian;Català;false
ce;Chechen;нохчийн мотт;false
ch;Chamorro;Chamoru;false
co;Corsican;corsu / lingua corsa;false
cr;Cree;ᓀᐦᐃᔭᐍᐏᐣ;false
cs;Czech;česky / čeština;false
cv;Chuvash;чӑваш чӗлхи;false
cy;Welsh;Cymraeg;false
da;Danish;dansk;false
de;German;Deutsch;false
dv;Dhivehi (Maldivian);ދިވެހިބަސް /dhivehi;false
dz;Dzongkha;རྫོང་ཁ;false
ee;Ewe;Ɛʋɛgbɛ;false
el;Greek;Ελληνικά;false
en;English;English;false
eo;Esperanto;Esperanto;false
es;Spanish / Castilian;español / castellano;false
et;Estonian;Eesti keel;false
eu;Basque;euskara;false
fa;Persian;فارسی;true
ff;Fulah;Fulfulde;false
fi;Finnish;suomen kieli;false
fj;Fijian;vosa Vakaviti;false
fo;Faroese;Føroyskt;false
fr;French;français / langue française;false
fy;Western Frisian;Frysk;false
ga;Irish;Gaeilge;false
gd;Gaelic / Scottish Gaelic;Gàidhlig;false
gl;Galician;Galego;false
gn;Guarani;Avañe'ẽ;false
gu;Gujarati;ગુજરાતી;false
gv;Manx;Ghaelg;false
ha;Hausa;‫هَوُسَ;true
he;Hebrew;‫עברית;true
hi;Hindi;हिन्दी / हिंदी;false
ho;Hiri Motu;Hiri Motu;false
hr;Croatian;Hrvatski;false
ht;Haitian / Haitian / Creole;Kreyòl ayisyen;false
hu;Hungarian;Magyar;false
hy;Armenian;Հայերեն;false
hz;Herero;Otjiherero;false
ia;Interlingua;Interlingua;false
id;Indonesian;Bahasa Indonesia;false
ie;Interlingue / Occidental;Interlingue;false
ig;Igbo;Igbo;false
ii;Sichuan Yi / Nuosu;ꆇꉙ;false
ik;Inupiaq;Iñupiaq / Iñupiatun;false
io;Ido;Ido;false
is;Icelandic;Íslenska;false
it;Italian;Italiano;false
iu;Inuktitut;ᐃᓄᒃᑎᑐᑦ;false
ja;Japanese;日本語 (にほんご／にっぽんご);false
jv;Javanese;basa Jawa;false
ka;Georgian;ქართული;false
kg;Kongo;KiKongo;false
ki;Kikuyu / Gikuyu;Gĩkũyũ;false
kj;Kuanyama / Kwanyama;Kuanyama;false
kk;Kazakh;Қазақ тілі;false
kl;Kalaallisut / Greenlandic;kalaallisut / kalaallit oqaasii;false
km;Central Khmer;ភាសាខ្មែរ;false
kn;Kannada;ಕನ್ನಡ;false
ko;Korean;한국어 (韓國語) / 조선말 (朝鮮語);false
kr;Kanuri;Kanuri;false
ks;Kashmiri;कश्मीरी كشميري;false
