name;fullName;intCode;symbol2;symbol3
Австралия;Австралия;36;AU;AUS
Австрия;Австрия;40;AT;AUT
Азербайджан;Азербайджан;31;AZ;AZE
Аландские острова;Аландские острова;248;AX;ALA
Албания;Албания;8;AL;ALB
Алжир;Алжир;12;DZ;DZA
Американское Самоа;Американское Самоа;16;AS;ASM
Ангилья;Ангилья;660;AI;AIA
Ангола;Ангола;24;AO;AGO
Андорра;Андорра;20;AD;AND
Антарктида;Антарктида;10;AQ;ATA
Антигуа и Барбуда;Антигуа и Барбуда;28;AG;ATG
Аргентина;Аргентина;32;AR;ARG
Аруба;Аруба;533;AW;ABW
Афганистан;Афганистан;4;AF;AFG
Багамские Острова;Багамские Острова;44;BS;BHS
Бангладеш;Бангладеш;50;BD;BGD
Барбадос;Барбадос;52;BB;BRB
Бахрейн;Бахрейн;48;BH;BHR
Белиз;Белиз;84;BZ;BLZ
Бельгия;Бельгия;56;BE;BEL
Бенин;Бенин;204;BJ;BEN
Бермуды;Бермуды;60;BM;BMU
Белоруссия;Белоруссия;112;BY;BLR
Болгария;Болгария;100;BG;BGR
Боливия;Боливия;68;BO;BOL
Бонэйр, Синт-Эстатиус и Саба;Бонэйр, Синт-Эстатиус и Саба;535;BQ;BES
Босния и Герцеговина;Босния и Герцеговина;70;BA;BIH
Ботсвана;Ботсвана;72;BW;BWA
Бразилия;Бразилия;76;BR;BRA
Британская территория в Индийском океане;Британская территория в Индийском океане;86;IO;IOT
Бруней;Бруней;96;BN;BRN
Буркина-Фасо;Буркина-Фасо;854;BF;BFA
Бурунди;Бурунди;108;BI;BDI
Бутан;Бутан;64;BT;BTN
Вануату;Вануату;548;VU;VUT
Ватикан;Ватикан;336;VA;VAT
Великобритания;Великобритания;826;GB;GBR
Венесуэла;Венесуэла;862;VE;VEN
Вьетнам;Вьетнам;704;VN;VNM
Виргинские Острова (Великобритания);Виргинские Острова (Великобритания);92;VG;VGB
Виргинские Острова (США);Виргинские Острова (США);850;VI;VIR
Армения;Армения;51;AM;ARM
Габон;Габон;266;GA;GAB
Гаити;Гаити;332;HT;HTI
Гайана;Гайана;328;GY;GUY
Гамбия;Гамбия;270;GM;GMB
Гана;Гана;288;GH;GHA
Гваделупа;Гваделупа;312;GP;GLP
Гватемала;Гватемала;320;GT;GTM
Гвиана;Гвиана;254;GF;GUF
Гвинея;Гвинея;324;GN;GIN
Гвинея-Бисау;Гвинея-Бисау;624;GW;GNB
Гернси;Гернси;831;GG;GGY
Гибралтар;Гибралтар;292;GI;GIB
Гондурас;Гондурас;340;HN;HND
Гонконг;Гонконг;344;HK;HKG
Гренада;Гренада;308;GD;GRD
Гренландия;Гренландия;304;GL;GRL
Греция;Греция;300;GR;GRC
Грузия;Грузия;268;GE;GEO
Гуам;Гуам;316;GU;GUM
Дания;Дания;208;DK;DNK
Джерси;Джерси;832;JE;JEY
Джибути;Джибути;262;DJ;DJI
Доминиканская Республика;Доминиканская Республика;214;DO;DOM
Доминика;Доминика;212;DM;DMA
Экваториальная Гвинея;Экваториальная Гвинея;226;GQ;GNQ
Эквадор;Эквадор;218;EC;ECU
Эритрея;Эритрея;232;ER;ERI
Эстония;Эстония;233;EE;EST
Эфиопия;Эфиопия;231;ET;ETH
Египет;Египет;818;EG;EGY
Йемен;Йемен;887;YE;YEM
Замбия;Замбия;894;ZM;ZMB
САДР;САДР;732;EH;ESH
Зимбабве;Зимбабве;716;ZW;ZWE
Израиль;Израиль;376;IL;ISR
Индия;Индия;356;IN;IND
Индонезия;Индонезия;360;ID;IDN
Ирак;Ирак;368;IQ;IRQ
Иран;Иран;364;IR;IRN
Ирландия;Ирландия;372;IE;IRL
Исландия;Исландия;352;IS;ISL
Испания;Испания;724;ES;ESP
Италия;Италия;380;IT;ITA
Иордания;Иордания;400;JO;JOR
Кабо-Верде;Кабо-Верде;132;CV;CPV
Казахстан;Казахстан;398;KZ;KAZ
Острова Кайман;Острова Кайман;136;KY;CYM
Камбоджа;Камбоджа;116;KH;KHM
Камерун;Камерун;120;CM;CMR
Канада;Канада;124;CA;CAN
Катар;Катар;634;QA;QAT
Кения;Кения;404;KE;KEN
Киргизия;Киргизия;417;KG;KGZ
Китай (Китайская Народная Республика);Китай (Китайская Народная Республика);156;CN;CHN
Кипр;Кипр;196;CY;CYP
