name;intCode;code3;curMult
Албанский лек;8;ALL;100
Украинская гривна;980;UAH;100
Австралийский доллар;36;AUD;100
Багамский доллар;44;BSD;100
Бахрейнский динар;48;BHD;1000
Таиландский бат;764;THB;100
Тонганийская паанга;776;TOP;100
Доллар Тринидада и Тобаго;780;TTD;100
Белорусский рубль;933;BYN;100
Болгарский лев;975;BGN;100
Конголезский франк;976;CDF;100
Конвертируемая марка Боснии и Герцеговины;977;BAM;100
Корейская вона;410;KRW;1
Кувейтский динар;414;KWD;1000
Гонконгский доллар;344;HKD;100
Датская крона;208;DKK;100
Доминиканское песо;214;DOP;100
Сальвадорский колон;222;SVC;100
Эфиопский быр;230;ETB;100
Эритрейская накфа;232;ERN;100
Фунт Фолклендских островов;238;FKP;100
Доллар Фиджи;242;FJD;100
Франк Джибути;262;DJF;1
Гамбийское даласи;270;GMD;100
Гибралтарский фунт;292;GIP;100
Гватемальская кетсаль;320;GTQ;100
Гвинейский франк;324;GNF;1
Гайанский доллар;328;GYD;100
Гаитянский гурд;332;HTG;100
Гондурасская лемпира;340;HNL;100
Доллар США;840;USD;100
Уругвайское песо;858;UYU;100
Евро;978;EUR;100
Мексиканская инверсионная единица;979;MXV;100
Египетский фунт;818;EGP;100
Японская иена;392;JPY;1
Польский злотый;985;PLN;100
Индийская рупия;356;INR;100
Индонезийская рупия;360;IDR;100
Иранский риал;364;IRR;100
Канадский доллар;124;CAD;100
Эскудо Кабо-Верде;132;CVE;100
Доллар Островов Кайман;136;KYD;100
Шри-Ланкийская рупия;144;LKR;100
Чилийское песо;152;CLP;1
Хорватская куна;191;HRK;100
Кубинское песо;192;CUP;100
Мексиканское песо;484;MXN;100
Монгольский тугрик;496;MNT;100
Молдавский лей;498;MDL;100
Новый израильский шекель;376;ILS;100
Ямайский доллар;388;JMD;100
Новозеландский доллар;554;NZD;100
Никарагуанская золотая кордоба;558;NIO;100
Нигерийская найра;566;NGN;100
Норвежская крона;578;NOK;100
Российский рубль;643;RUB;100
Франк Руанды;646;RWF;1
Фунт Святой Елены;654;SHP;100
Добра Сан-Томе и Принсипи;930;STN;100
Новый румынский лей;946;RON;100
WIR-евро;947;CHE;100
WIR-франк;948;CHW;100
Сингапурский доллар;702;SGD;100
СДР (специальные права заимствования);960;XDR;0
Серебро (тройская унция);961;XAG;0
Платина (тройская унция);962;XPT;0
Тестовый код;963;XTS;0
Палладий (тройская унция);964;XPD;0
Расчётная единица ADB;965;XUA;0
Замбийськая квача;967;ZMW;100
Суринамский доллар;968;SRD;100
Малагасийский ариари;969;MGA;100
Колумбийская единица реальной стоимости;970;COU;100
Афганский афгани;971;AFN;100
Казахский тенге;398;KZT;100
Иорданский динар;400;JOD;1000
Кенийский шиллинг;404;KES;100
Северокорейская вона;408;KPW;100
Турецкая лира;949;TRY;100
Франк КФА BEAC;950;XAF;1
Восточно-карибский доллар;951;XCD;100
Франк КФА BCEAO;952;XOF;1
Франк КФП;953;XPF;1
Европейская составная единица EURCO;955;XBA;0
Европейская валютная единица EMU-6;956;XBB;0
Европейская расчётная единица EUA-9;957;XBC;0
Европейская расчётная единица EUA-17;958;XBD;0
Золото (тройская унция);959;XAU;0
Венгерский форинт;348;HUF;100
Исландская крона;352;ISK;1
Фунт стерлингов;826;GBP;100
Танзанийский шиллинг;834;TZS;100
Чешская крона;203;CZK;100
Шведская крона;752;SEK;100
Швейцарский франк;756;CHF;100
Сирийский фунт;760;SYP;100
Китайський юань;156;CNY;100
Колумбийское песо;170;COP;100
Франк Комор;174;KMF;1
Костариканский колон;188;CRC;100
Азербайджанский манат;944;AZN;100
Алжирский динар;12;DZD;100
Аргентинское песо;32;ARS;100
Бразильский реал;986;BRL;100
Единица развития Чили;990;CLF;10000
Сукре единой системы региональных взаиморасчетов;994;XSU;0
Доллар следующего дня;997;USN;100
Без валюты;999;XXX;0
Армянский драм;51;AMD;100
Барбадосский доллар;52;BBD;100
Бермудский доллар;60;BMD;100
Бутанский нгултрум;64;BTN;100
Боливийское боливиано;68;BOB;100
Ботсванская пула;72;BWP;100
Белизский доллар;84;BZD;100
Доллар Соломоновых Островов;90;SBD;100
Брунейский доллар;96;BND;100
Мьянмский кьят;104;MMK;100
Бурундийский франк;108;BIF;1
Камбоджийский риел;116;KHR;100
Дирхам ОАЭ;784;AED;100
Вьетнамский донг;704;VND;1
