name;fullName;intCode;symbol2;symbol3
Афғонистон;Афғонистон;4;AF;AFG
Ҷазираҳои Аланд;Ҷазираҳои Аланд;248;AX;ALA
Албания;Албания;8;AL;ALB
Алҷазоир;Алҷазоир;12;DZ;DZA
Самоаи Шарқӣ;Самоаи Шарқӣ;16;AS;ASM
Андорра;Андорра;20;AD;AND
Ангола;Ангола;24;AO;AGO
Ангиля;Ангиля;660;AI;AIA
Антарктида;Антарктида;10;AQ;ATA
Антигуа ва Барбуда;Антигуа ва Барбуда;28;AG;ATG
Аргентина;Аргентина;32;AR;ARG
Арманистон;Арманистон;51;AM;ARM
Аруба;Аруба;533;AW;ABW
Синт-Мартен;Синт-Мартен;534;SX;SXM
Бонэйр, Синт-Эстатиус ва Саба;Бонэйр, Синт-Эстатиус ва Саба;535;BQ;BES
Австралия;Австралия;36;AU;AUS
Австрия;Австрия;40;AT;AUT
Озарбайҷон;Озарбайҷон;31;AZ;AZE
Багамаҳо;Багамаҳо;44;BS;BHS
Баҳрайн;Баҳрайн;48;BH;BHR
Бангладеш;Бангладеш;50;BD;BGD
Барбадос;Барбадос;52;BB;BRB
Белоруссия;Белоруссия;112;BY;BLR
Белгия;Белгия;56;BE;BEL
Белиз;Белиз;84;BZ;BLZ
Бенин;Бенин;204;BJ;BEN
Ҷазираҳои Бермуд;Ҷазираҳои Бермуд;60;BM;BMU
Бутан;Бутан;64;BT;BTN
Боливия;Боливия;68;BO;BOL
Босна ва Ҳертсеговина;Босна ва Ҳертсеговина;70;BA;BIH
Ботсвана;Ботсвана;72;BW;BWA
Ҷазира Буве;Ҷазира Буве;74;BV;BVT
Бразилия;Бразилия;76;BR;BRA
Территорияи Британия дар уқёнуси Ҳинд;Территорияи Британия дар уқёнуси Ҳинд;86;IO;IOT
Бруней;Бруней;96;BN;BRN
Булғористон;Булғористон;100;BG;BGR
Бурқина Фасо;Бурқина Фасо;854;BF;BFA
Бурунди;Бурунди;108;BI;BDI
Камбоҷа;Камбоҷа;116;KH;KHM
Камерун;Камерун;120;CM;CMR
Канада;Канада;124;CA;CAN
Кабо-Верде;Кабо-Верде;132;CV;CPV
Ҷазираҳои Кайман;Ҷазираҳои Кайман;136;KY;CYM
Ҷумҳурии Африқои Марказӣ;Ҷумҳурии Африқои Марказӣ;140;CF;CAF
Чад;Чад;148;TD;TCD
Чиле;Чиле;152;CL;CHL
Чин;Чин;156;CN;CHN
Ҷазира Мавлуди;Остров Рождества;162;CX;CXR
Ҷазираҳои Какос;Ҷазираҳои Какос;166;CC;CCK
Колумбия;Колумбия;170;CO;COL
Ҷазираҳои Коморҳо;Ҷазираҳои Коморҳо;174;KM;COM
Конго;Конго;178;CG;COG
Ҷумҳурии Демократии Конго;Ҷумҳурии Демократии Конго;180;CD;COD
Ҷазираҳои Кука;Ҷазираҳои Кука;184;CK;COK
Коста-Рика;Коста-Рика;188;CR;CRI
Кот-Д'Ивуар;Кот-Д'Ивуар;384;CI;CIV
