name;intCode;code3;curMult
Леки Албани;8;ALL;100
Гривнаи Украина;980;UAH;100
Доллари Австралия;036;AUD;100
Доллари Багамӣ;44;BSD;100
Динори Баҳрайнӣ;48;BHD;1000
Бати Таиланд;764;THB;100
Паангаи Тонгоӣ;776;TOP;100
Доллари Тринидад ва Тобаго;780;TTD;100
Рубли нави Белорус;933;BYN;100
Леви Булғористонӣ;975;BGN;100
Франки Конго;976;CDF;100
Кабрио Марки Босния ва Герцеговина;977;BAM;100
Вони Корея;410;KRW;1
Динори Қувайт;414;KWD;1000
Доллари Ҳонг-Конг;344;HKD;100
Кронаи Дания;208;DKK;100
Песои Доминиканӣ;214;DOP;100
Колони Салвадор;222;SVC;100
Бири Эфиопӣ;230;ETB;100
Накфаи Эритрея;232;ERN;100
Фунти Ҷазираҳои Фолкленд;238;FKP;100
Доллари Фиҷи;242;FJD;100
Франки Ҷибути;262;DJF;1
Даласи Гамбия;270;GMD;100
Фунти Гибралтар;292;GIP;100
Кетсали Гватемала;320;GTQ;100
Франки Гвинея;324;GNF;1
Доллари Гайана;328;GYD;100
Гурди Ҳаитӣ;332;HTG;100
Лемпири Гондурас;340;HNL;100
Доллари ИМА;840;USD;100
Песои Уругвай;858;UYU;100
ЕВРО;978;EUR;100
Воҳиди инверсионни Мексики;979;MXV;100
Фунти Миср;818;EGP;100
Йени Ҷопон;392;JPY;1
Злотийи Лаҳистон;985;PLN;100
Рупияи Ҳиндустон;356;INR;100
Рупии Индонезия;360;IDR;100
Риёли Эрон;364;IRR;100
Доллари Канада;124;CAD;100
Эскудои Кабо-Верде;132;CVE;100
Доллари Ҷазираҳои Кайман;136;KYD;100
Рупия Шри-Ланкия;144;LKR;100
Песои Чили;152;CLP;1
Кунаи Хорватия;191;HRK;100
Песои Куба;192;CUP;100
Песои Мексика;484;MXN;100
Тугрики Муғулӣ;496;MNT;100
Лейи Молдова;498;MDL;100
Шекели нави Исроил;376;ILS;100
Доллари Ямайка;388;JMD;100
Доллари Зеландияи Нав;554;NZD;100
Кордобаи тиллоии Никарагуа;558;NIO;100
Наираи Нигерия;566;NGN;100
Кронаи Норвегия;578;NOK;100
Рубли Русия;643;RUB;100
Франки Руанда;646;RWF;1
Фунти Муққадаси Елена;654;SHP;100
Добраи Сан-Томе ва Принсипи;930;STN;100
Леи нави Руминия;946;RON;100
WIR-евро;947;CHE;100
WIR-франк;948;CHW;100
Доллари Сингапур;702;SGD;100
СДР (специальные права заимствования);960;XDR;0
Нуқра (унси трой);961;XAG;0
Платина (унси трой);962;XPT;0
Рамзи санҷиш;963;XTS;0
Палладий (тройская унция);964;XPD;0
Воҳиди ҳисоб ADB;965;XUA;0
Квачаи Замбия;967;ZMW;100
Доллари Суринам;968;SRD;100
Ариари Малагасӣ;969;MGA;100
Воҳиди арзиши воқеии Колумбия;970;COU;100
Афғонии Афғонистон;971;AFN;100
Тангаи Қазоқистон;398;KZT;100
Динари Иордания;400;JOD;1000
Шилинги Кения;404;KES;100
Вони Кореяи Шимолӣ;408;KPW;100
Лири Туркия;949;TRY;100
Франк КФА BEAC;950;XAF;1
Восточно-карибский доллар;951;XCD;100
Франк КФА BCEAO;952;XOF;1
Франк КФП;953;XPF;1
Воҳиди мураккаби аврупоӣ EURCO;955;XBA;0
Воҳиди асъори Аврупои EMU-6;956;XBB;0
Воҳиди ҳисобдории аврупоӣ EUA-9;957;XBC;0
Воҳиди ҳисобдории аврупоӣ EUA-17;958;XBD;0
Тилло (унси трой);959;XAU;0
Форинти Венгерӣ;348;HUF;100
Кронаи Исландия;352;ISK;1
Фунти стерлингҳои Инглистон;826;GBP;100
Шилинги Танзания;834;TZS;100
Кронаи Чехӣ;203;CZK;100
Кронаи Шветсия;752;SEK;100
Франки Швейтсария;756;CHF;100
Фунти Сурия;760;SYP;100
Юани Чин;156;CNY;100
Песои Колумбия;170;COP;100
Франки Комор;174;KMF;1
Колони Коста-Рика;188;CRC;100
Манати Озарбойҷон;944;AZN;100
Динори Алҷазоир;12;DZD;100
Песои Аргентина;32;ARS;100
Реали Бразилия;986;BRL;100
Воҳиди рушди Чили;990;CLF;10000
Сукре Системаи ягонаи ҳисоббаробаркуниҳои минтақавӣ;994;XSU;0
Доллари фардо;997;USN;100
Бе асъор;999;XXX;0
Драми Арманистон;051;AMD;100
Доллари Барбадос;52;BBD;100
Доллари Бермудӣ;60;BMD;100
Нгултруми Бутанӣ;64;BTN;100
Боливианои Боливия;68;BOB;100
Пулаи Ботсвана;72;BWP;100
Доллари Белиз;84;BZD;100
Доллари Ҷазираҳои Соломон;90;SBD;100
Доллари Бруней;96;BND;100
Кияти Мянмар;104;MMK;100
Франки Бурунди;108;BIF;1
Риели Камбоҷа;116;KHR;100
Дирмами АМА;784;AED;100
Донги Ветнам;704;VND;1
Шилинги Сомалӣ;706;SOS;100
Динори Ироқ;368;IQD;1000
Ларии Гурҷистон;981;GEL;100
Мвдоли Боливия;984;BOV;100
Фунти Лубнон;422;LBP;100
Лоти Лесот;426;LSL;100
Доллари Либерия;430;LRD;100
Динори Либия;434;LYD;1000
Патакаи Макао;446;MOP;100
Квачаи Малавия;454;MWK;100
Ринггити Малайзия;458;MYR;100
Малдивҳо руфияа;462;MVR;100
Угияи Мавритания;929;MRU;100
Рупияи Мавритания;480;MUR;100
Дирҳами Марокаш;504;MAD;100
Риали Оман;512;OMR;1000
Доллари Намиби;516;NAD;100
Рупияи Непал;524;NPR;100
Нидерландский антильский гульден;532;ANG;100
Флорини Арубан;533;AWG;100
Ватуи Вануату;548;VUV;1
Доллари нави Тайванр;901;TWD;100
UYW - Уругваи;927;UYW;10000
Песо мубодилаи Куби;931;CUC;100
Доллари Зимбабве;932;ZWL;100
Рупияи Покистон;586;PKR;100
Панамаи Балбоа;590;PAB;100
Кина Папуаи Гвинеяи Нав;598;PGK;100
Гуарани Парагвай;600;PYG;1
Соли нави Перу;604;PEN;100
Песои Филиппин;608;PHP;100
Риали Қатар;634;QAR;100
Ранди Африқои Ҷанубӣ;710;ZAR;100
Фунти Судони Ҷанубӣ;728;SSP;100
Лилангени Свазиленд;748;SZL;100
Риёли Арабистони Саудӣ;682;SAR;100
Рупии Сейшелҳо;690;SCR;100
Леонаи Сера-Леоне;694;SLL;100
Динори серб;941;RSD;100
Метикали Мозамбик;943;MZN;100
Соми Қирғизистон;417;KGS;100
Кипи Лаос;418;LAK;100
Сомонӣ;972;TJS;100
Кванзаи Ангола;973;AOA;100
Такаи Бангладеш;50;BDT;100
Динори Тунис;788;TND;1000
Шилинги Уганда;800;UGX;1
Денари Македония Шимолӣ;807;MKD;100
Манати нави Туркманистон;934;TMT;100
Седии Гана;936;GHS;100
Боливари Венесуэла;928;VES;100
Фунта Судон;938;SDG;100
Песои Уругувай дар воҳиди индексатсияшуда;940;UYI;1
Сӯми Ӯзбекистон;860;UZS;100
Талаи Самоф;882;WST;100
Риали Яман;886;YER;100
