code;languageName;nativeName;isRTL
aa;Афарӣ;Qafaraf;false
ab;Абхазӣ;Аҧсуа;false
ae;Авестоӣ;avesta;false
af;Африқоӣ;Afrikaans;false
ak;Аканӣ;Akan;false
am;Амхорӣ;አማርኛ;false
an;Арагонӣ;Aragonés;false
ar;Арабӣ;العربية;true
as;Ассимӣ;অসমীয়া;false
sq;Албанӣ;Shqip;false
av;Аварӣ;авар мацӀ / магӀарул мацӀ;false
ay;Аймара;aymar aru;false
az;Озарбойҷонӣ;azərbaycan dili;false
ba;Бошқирдӣ;башҡорт теле;false
be;Белорусӣ;Беларуская;false
bg;Булғорӣ;български език;false
bh;Биҳарӣ;भोजपुरी;false
bi;Бисламагӣ;Bislama;false
bm;Баманагӣ;bamanankan;false
bn;Банголӣ;বাংলা;false
bo;Тибетӣ;བོད་ཡིག;false
br;Бритонӣ;brezhoneg;false
bs;Босниягӣ;bosanski jezik;false
ca;Каталонӣ;Català;false
ce;Чеченӣ;нохчийн мотт;false
ch;Чаморогӣ;Chamoru;false
co;Корсигӣ;corsu / lingua corsa;false
cr;Кригӣ;ᓀᐦᐃᔭᐍᐏᐣ;false
cs;Чехӣ;česky / čeština;false
cv;Чувашӣ;чӑваш чӗлхи;false
cy;Уэлсӣ;Cymraeg;false
da;Даниягӣ;dansk;false
de;Немисӣ;Deutsch;false
dv;Молдивӣ;ދިވެހިބަސް /dhivehi;false
dz;Бутанӣ;རྫོང་ཁ;false
ee;Эвегӣ;Ɛʋɛgbɛ;false
el;Юнонӣ;Ελληνικά;false
en;Англисӣ;English;false
eo;Эсперанто;Esperanto;false
es;Испанӣ;español / castellano;false
et;Эстонӣ;Eesti keel;false
eu;Баскӣ;euskara;false
fa;Форсӣ;فارسی;true
ff;Фулягӣ;Fulfulde;false
fi;Финӣ;suomen kieli;false
fj;Фиҷигӣ;vosa Vakaviti;false
fo;Фарорӣ;Føroyskt;false
fr;Фаронсавӣ;français / langue française;false
fy;Фризӣ;Frysk;false
ga;Ирландӣ;Gaeilge;false
gd;Галсӣ;Gàidhlig;false
gl;Галисигӣ;Galego;false
gn;Гваранӣ;Avañe'ẽ;false
gu;Гуҷаратӣ;ગુજરાતી;false
gv;Мэнӣ;Ghaelg;false
ha;Ҳавсӣ;‫هَوُسَ;true
he;Ивритӣ;‫עברית;true
hi;Ҳиндӣ;हिन्दी / हिंदी;false
ho;Ҳири–моту;Hiri Motu;false
hr;Хорватӣ;Hrvatski;false
ht;Креоли ҳоитӣ;Kreyòl ayisyen;false
hu;Венгерӣ;Magyar;false
hy;Арманӣ;Հայերեն;false
hz;Ҳереро;Otjiherero;false
ia;Интерлингва;Interlingua;false
id;Индонезӣ;Bahasa Indonesia;false
ie;Интерлинве;Interlingue;false
ig;Игбоӣ;Igbo;false
ii;Носӣ;ꆇꉙ;false
ik;Инуитӣ;Iñupiaq / Iñupiatun;false
io;Идоӣ;Ido;false
is;Исландӣ;Íslenska;false
it;Итолиёвӣ;Italiano;false
iu;Инуктитут;ᐃᓄᒃᑎᑐᑦ;false
ja;Ҷопонӣ;日本語 (にほんご／にっぽんご);false
jv;Ҷаванӣ;basa Jawa;false
ka;Гурҷӣ;ქართული;false
kg;Конго;KiKongo;false
ki;Кукуиюгӣ;Gĩkũyũ;false
kj;Киняма;Kuanyama;false
kk;Қазоқӣ;Қазақ тілі;false
kl;Гринландӣ;kalaallisut / kalaallit oqaasii;false
km;Кҳмерӣ;ភាសាខ្មែរ;false
kn;Қанорӣ;ಕನ್ನಡ;false
ko;Кореягӣ;한국어 (韓國語) / 조선말 (朝鮮語);false
kr;Конурӣ;Kanuri;false
ks;Кашмирӣ;कश्मीरी كشميري;false
ku;Курдӣ;Kurdî / كوردی;false
kv;Кумӣ;коми кыв;false
kw;Курнӣ;Kernewek;false
ky;Қирғизӣ;кыргыз тили;false
la;Лотинӣ;latine / lingua latina;false
lb;Луксембургӣ;Lëtzebuergesch;false
lg;Лугандӣ;Luganda;false
li;Лимбурҷӣ;Limburgs;false
ln;Лингала;Lingála;false
lo;Лаосӣ;ພາສາລາວ;false
lt;Литвонӣ;lietuvių kalba;false
lu;Луба-катанга;Kiluba;false
lv;Латвиягӣ;latviešu valoda;false
mg;Малагасиягӣ;Malagasy fiteny;false
mh;Маршалӣ;Kajin M̧ajeļ;false
mi;Мавригӣ;te reo Māori;false
mk;Македонӣ;македонски јазик;false
ml;Малаялгӣ;മലയാളം;false
mn;Муғулӣ;Монгол;false
mr;Маротӣ;मराठी;false
ms;Малайӣ;bahasa Melayu / بهاس ملايو;false
mt;Малтӣ;Malti;false
my;Бирмиягӣ;ဗမာစာ;false
na;Науруанӣ;Ekakairũ Naoero;false
nb;Норвиягии букмолӣ;Norsk bokmål;false
nd;Дебелеи шимолӣ;isiNdebele;false
ne;Непалӣ;नेपाली;false
ng;Дунгӣ;Owambo;false
nl;Ҳолландӣ;Nederlands;false
nn;Норвиягии ну;Norsk nynorsk;false
no;Норвиягӣ;Norsk;false
nr;Дебелеи ҷанубӣ;Ndébélé;false
nv;Наваҷоӣ;Diné bizaad / Dinékʼehǰí;false
ny;Чуайэгӣ;chiCheŵa / chinyanja;false
oc;Окситонӣ;Occitan;false
