name;intCode;code3;curMult
Албанський лек;8;ALL;100
Українська гривня;980;UAH;100
Австралійський долар;36;AUD;100
Багамський долар;44;BSD;100
Бахрейнський динар;48;BHD;1000
Таїландський бат;764;THB;100
Тонґанійська паанга;776;TOP;100
Долар Тринідаду і Тобаго;780;TTD;100
Білоруський рубль;933;BYN;100
Болгарський лев;975;BGN;100
Конголезький франк;976;CDF;100
Конвертовна марка Боснії і Герцеговини;977;BAM;100
Корейська вона;410;KRW;1
Кувейтський динар;414;KWD;1000
Гонконгівський долар;344;HKD;100
Данська крона;208;DKK;100
Домініканське песо;214;DOP;100
Сальвадорський колон;222;SVC;100
Ефіопський бир;230;ETB;100
Еритрейська накфа;232;ERN;100
Фолклендський фунт;238;FKP;100
Фіджійський долар;242;FJD;100
Джибутійський франк;262;DJF;1
Гамбійське даласі;270;GMD;100
Ґібралтарський фунт;292;GIP;100
Ґватемальська кетсаль;320;GTQ;100
Гвінейський франк;324;GNF;1
Гаянський долар;328;GYD;100
Гаїтянський ґурд;332;HTG;100
Гондураська лемпіра;340;HNL;100
Долар США;840;USD;100
Уруґвайський песо;858;UYU;100
Євро;978;EUR;100
Мексиканська перерахункова одиниця;979;MXV;100
Єгипетський фунт;818;EGP;100
Японська єна;392;JPY;1
Польський злотий;985;PLN;100
Індійська рупія;356;INR;100
Індонезійська рупія;360;IDR;100
Іранський ріал;364;IRR;100
Канадський долар;124;CAD;100
Ескудо Кабо-Верде;132;CVE;100
Долар Кайманових островів;136;KYD;100
Рупія Шрі-Ланки;144;LKR;100
Чилійське песо;152;CLP;1
Хорватська куна;191;HRK;100
Кубинське песо;192;CUP;100
Мексиканське песо;484;MXN;100
Монгольський тугрик;496;MNT;100
Молдовський лей;498;MDL;100
Новий ізраїльський шекель;376;ILS;100
Ямайський долар;388;JMD;100
Новозеландський долар;554;NZD;100
Нікараґуанська золота кордоба;558;NIO;100
Нігерійська найра;566;NGN;100
Норвезька крона;578;NOK;100
Російський рубль;643;RUB;100
Руандійський франк;646;RWF;1
Фунт Святої Єлени;654;SHP;100
Добра Сан-Томе і Принсіпі;930;STN;100
Румуніський новий лей;946;RON;100
Євро WIR;947;CHE;100
Франк WIR;948;CHW;100
Сінгапурський долар;702;SGD;100
Спеціальні права запозичення (МВФ);960;XDR;0
Срібло;961;XAG;0
