code;languageName;nativeName;isRTL
aa;Афарська;Qafaraf;false
ab;Абхазька;Аҧсуа;false
ae;Авестійська;avesta;false
af;Африкаанс;Afrikaans;false
ak;Акан (мова);Akan;false
am;Амхара;አማርኛ;false
an;Арагонська;Aragonés;false
ar;Арабська;العربية;true
as;Ассамська;অসমীয়া;false
sq;Албанська;Shqip;false
av;Аварська;авар мацӀ / магӀарул мацӀ;false
ay;Аймара;aymar aru;false
az;Азербайджанська;azərbaycan dili;false
ba;Башкирська;башҡорт теле;false
be;Білоруська;Беларуская;false
bg;Болгарська;български език;false
bh;Біхарі;भोजपुरी;false
bi;Біслама;Bislama;false
bm;Бамбара;bamanankan;false
bn;Бенгальська;বাংলা;false
bo;Тибетська;བོད་ཡིག;false
br;Бретонська;brezhoneg;false
bs;Боснійська;bosanski jezik;false
ca;Каталонська;Català;false
ce;Чеченська;нохчийн мотт;false
ch;Чаморро;Chamoru;false
co;Корсиканська;corsu / lingua corsa;false
cr;Мова крі;ᓀᐦᐃᔭᐍᐏᐣ;false
cs;Чеська;česky / čeština;false
cv;Чуваська;чӑваш чӗлхи;false
cy;Валлійська;Cymraeg;false
da;Данська;dansk;false
de;Німецька;Deutsch;false
dv;Дівехі (Мальдивська);;false
dz;Дзонґ-ке;རྫོང་ཁ;false
ee;Еве;Ɛʋɛgbɛ;false
el;Грецька;Ελληνικά;false
en;Англійська;English;false
eo;Есперанто;Esperanto;false
es;Іспанська;español / castellano;false
et;Естонська;Eesti keel;false
eu;Баскська;euskara;false
fa;Перська;فارسی;true
ff;Фула;Fulfulde;false
fi;Фінська;suomen kieli;false
fj;Фіджі;vosa Vakaviti;false
fo;Фарерська;Føroyskt;false
fr;Французька;français / langue française;false
fy;Західно-фризька;Frysk;false
ga;Ірландська;Gaeilge;false
gd;Шотландська гельська;Gàidhlig;false
gl;Галісійська;Galego;false
gn;Гуарані;Avañe'ẽ;false
gu;Гуджараті;ગુજરાતી;false
gv;Менська;Ghaelg;false
ha;Хауса;‫هَوُسَ;true
he;Іврит;‫עברית;true
hi;Хінді;हिन्दी / हिंदी;false
ho;Гірі-моту;Hiri Motu;false
hr;Хорватська;Hrvatski;false
ht;Гаїтянська;Kreyòl ayisyen;false
hu;Угорська;Magyar;false
hy;Вірменська;Հայերեն;false
hz;Гереро;Otjiherero;false
ia;Інтерлінгва;Interlingua;false
id;Індонезійська;Bahasa Indonesia;false
ie;Окциденталь;Interlingue;false
ig;Ігбо;Igbo;false
ii;Сичуань Йї;ꆇꉙ;false
ik;Інупіак (мова);Iñupiaq / Iñupiatun;false
io;Ідо;Ido;false
is;Ісландська;Íslenska;false
it;Італійська;Italiano;false
iu;Інуктітут;ᐃᓄᒃᑎᑐᑦ;false
ja;Японська;日本語 (にほんご／にっぽんご);false
jv;Яванська;basa Jawa;false
ka;Грузинська;ქართული;false
kg;Конголезька;KiKongo;false
ki;Кікуйю;Gĩkũyũ;false
kj;Кунама;Kuanyama;false
kk;Казахська;Қазақ тілі;false
kl;Ґренландська;kalaallisut / kalaallit oqaasii;false
km;Кхмерська;ភាសាខ្មែរ;false
kn;Каннада;ಕನ್ನಡ;false
ko;Корейська;한국어 (韓國語) / 조선말 (朝鮮語);false
kr;Канурі;Kanuri;false
ks;Кашмір;कश्मीरी كشميري;false
ku;Курдська;Kurdî / كوردی;false
kv;Комі;коми кыв;false
kw;Корнська;Kernewek;false
ky;Киргизька;кыргыз тили;false
la;Латинська;latine / lingua latina;false
lb;Люксембурзька;Lëtzebuergesch;false
lg;Луганда;Luganda;false
li;Лімбурзька;Limburgs;false
ln;Лінґала;Lingála;false
lo;Лаоська;ພາສາລາວ;false
