name;fullName;intCode;symbol2;symbol3
Avstraliya;Avstraliya;36;AU;AUS
Avstriya;Avstriya;40;AT;AUT
Ozarbayjon;Ozarbayjon;31;AZ;AZE
joyni;joyni;248;AX;ALA
Albaniya;Albaniya;8;AL;ALB
Jazoir;Jazoir;12;DZ;DZA
American Samoa;American Samoa;16;AS;ASM
Anguilla;Anguilla;660;AI;AIA
Angola;Angola;24;AO;AGO
Andorra;Andorra;20;AD;AND
Antarktida;Antarktida;10;AQ;ATA
Antigua va Barbuda;Antigua va Barbuda;28;AG;ATG
Argentina;Argentina;32;AR;ARG
Aruba;Aruba;533;AW;ABW
Afg'oniston;Afg'oniston;4;AF;AFG
Bagama orollari;Bagama orollari;44;BS;BHS
Bangladesh;Bangladesh;50;BD;BGD
Barbados;Barbados;52;BB;BRB
Bahrayn;Bahrayn;48;BH;BHR
Beliz;Beliz;84;BZ;BLZ
Belgiya;Belgiya;56;BE;BEL
Benin;Benin;204;BJ;BEN
Bermuda;Bermuda;60;BM;BMU
Belarussiya;Belarussiya;112;BY;BLR
Bolgariya;Bolgariya;100;BG;BGR
Boliviya;Boliviya;68;BO;BOL
"Bonaire; Sint Eustatius va Saba";"Bonaire; Sint Eustatius va Saba";535;BQ;BES
Bosniya va Gertsegovina;Bosniya va Gertsegovina;70;BA;BIH
Botsvana;Botsvana;72;BW;BWA
Braziliya;Braziliya;76;BR;BRA
Britaniyaning Hind okeanidagi hududi;Britaniyaning Hind okeanidagi hududi;86;IO;IOT
Bruney;Bruney;96;BN;BRN
Burkina Faso;Burkina Faso;854;BF;BFA
Burundi;Burundi;108;BI;BDI
butan;butan;64;BT;BTN
Vanuatu;Vanuatu;548;VU;VUT
Vatikan;Vatikan;336;VA;VAT
Buyuk Britaniya;Buyuk Britaniya;826;GB;GBR
Venesuela;Venesuela;862;VE;VEN
Vetnam;Vetnam;704;VN;VNM
Virjiniya orollari (Buyuk Britaniya);Virjiniya orollari (Buyuk Britaniya);92;VG;VGB
Virjiniya orollari (AQSH);Virjiniya orollari (AQSH);850;VI;VIR
Armaniston;Armaniston;51;AM;ARM
Gabon;Gabon;266;GA;GAB
Gaiti;Gaiti;332;HT;HTI
Gayana;Gayana;328;GY;GUY
Gambiya;Gambiya;270;GM;GMB
Gana;Gana;288;GH;GHA
Guadeloupe;Guadeloupe;312;GP;GLP
Gvatemala;Gvatemala;320;GT;GTM
Gviana;Gviana;254;GF;GUF
Gvineya;Gvineya;324;GN;GIN
Gvineya-Bissau;Gvineya-Bissau;624;GW;GNB
Guernsey;Guernsey;831;GG;GGY
Gibraltar;Gibraltar;292;GI;GIB
Gonduras;Gonduras;340;HN;HND
Gonkong;Gonkong;344;HK;HKG
