name;intCode;code3;curMult
Alban lek;8;ALL;100
Ukraina Grivniya;980;UAH;100
Avstraliyalik dollar;36;AUD;100
Bagamma dollar;44;BSD;100
Bahresskiy dinor;48;BHD;1000
Tailand Bat;764;THB;100
Tonuvaniya Panga;776;TOP;100
Trinidad va Tobago Dollar;780;TTD;100
Belarusiya rubl;933;BYN;100
Bolgariya Lev.;975;BGN;100
Kongolese frank;976;CDF;100
Bosniya va Gertsegovinaning konvertatsiya qilinadigan markasi;977;BAM;100
Koreys vona;410;KRW;1
Kuvayt dinorasi;414;KWD;1000
Gon Kong dollarlari;344;HKD;100
Daniya kronasi;208;DKK;100
Dominikan peso.;214;DOP;100
Salvadsk ustuni;222;SVC;100
Efiopiya Xayan;230;ETB;100
Eritrid Oqfa;232;ERN;100
Funt Falklend orollari;238;FKP;100
Dollar Fiji.;242;FJD;100
Frank djibuti;262;DJF;1
Gambiya Dalasi.;270;GMD;100
Gibraltar funt;292;GIP;100
Gvatemalan Ketsal;320;GTQ;100
Gvinean Frank;324;GNF;1
Gianiya dollar;328;GYD;100
Gaiti Gurd.;332;HTG;100
Hondurasa Lempira;340;HNL;100
AQSh dollari;840;USD;100
Urugvay peso;858;UYU;100
Evro;978;EUR;100
Meksikalik inversion birligi;979;MXV;100
Misrlik funt;818;EGP;100
Yapon Yen;392;JPY;1
Polsha zloti;985;PLN;100
Hindiston rupi;356;INR;100
Indoneziyalik rupiy;360;IDR;100
Eronlik rial;364;IRR;100
Kanada dollar;124;CAD;100
Escudo Kape-Verde;132;CVE;100
Dollar orollari Cayman;136;KYD;100
Sri-Lanka Rupi;144;LKR;100
Chili peso.;152;CLP;1
Xorvat kebar.;191;HRK;100
Kubalik peso.;192;CUP;100
Meksika peso.;484;MXN;100
Mo'g'ul terilari;496;MNT;100
Moldovian lei.;498;MDL;100
Yangi Isroilning yangi missi;376;ILS;100
Jamolikalik dollar;388;JMD;100
Yangi Zelandiya Dollar;554;NZD;100
Nikaraguan Golden Kordoya;558;NIO;100
Nigeriyalik Nira;566;NGN;100
Norveg toj;578;NOK;100
Rus rubl;643;RUB;100
Frank Rwanda;646;RWF;1
Funt Sent-Helena;654;SHP;100
Yaxshi Sao Tome va Printsip;930;STN;100
Yangi Ruminiya lei.;946;RON;100
Wir-evro;947;CHE;100
Frank;948;CHW;100
Singapur dollari;702;SGD;100
SDR (maxsus qarz olish huquqlari);960;XDR;0
Kumush (Troysk oz);961;XAG;0
Platin (Troanan Oz);962;XPT;0
Sinov kodi;963;XTS;0
Palladiya (Troanan Oz);964;XPD;0
Hisoblangan OTB blok;965;XUA;0
Zambiya Kvama;967;ZMW;100
Surinys Dollar;968;SRD;100
Malagasiya Aravari;969;MGA;100
Kolumbiyalik real narx;970;COU;100
Afg'oniston Afg'oniston.;971;AFN;100
Qozoq tebdi;398;KZT;100
Iordaniya dinorlari;400;JOD;1000
Keniyalik Shiling;404;KES;100
Shimoliy Koreyaning vona;408;KPW;100
Turk lira;949;TRY;100
Frank CFA Beac;950;XAF;1
Sharqiy Karib dengizi dollari;951;XCD;100
Frank CFA BCCAO.;952;XOF;1
Frank KFP;953;XPF;1
Evropa tarkibiy qismini evro;955;XBA;0
Evropa pul maydoni EMU-6;956;XBB;0
Evropa shaharchaligi bo'limi EUA-9;957;XBC;0
Evropa hisoblash bo'limi EUA-17;958;XBD;0
Oltin (troya oz);959;XAU;0
Venger tili;348;HUF;100
Islandiya toj;352;ISK;1
GBP;826;GBP;100
Tanzan shiling;834;TZS;100
Chexiya Krona;203;CZK;100
Shvetsiya toj;752;SEK;100
Shveytsariya Frank;756;CHF;100
Suriya funt;760;SYP;100
Siyskiy Yuan.;156;CNY;100
