code;languageName;nativeName;isRTL
aa;Afarskiy;Qafaraf;false
ab;Abxaz;Аҧсуа;false
ae;Avestan;Avesta;false
af;Afrikaans;Afrikaans;false
ak;Akan;Akan;false
am;Amxarcha;አማርኛ;false
an;Aragon;Aragonés;false
ar;Arab;العربية;true
as;Assam;অসমীয়া;false
sq;Alban;Shqip;false
av;Avar;авар мацӀ / магӀарул мацӀ;false
ay;Aymara;aymar aru;false
az;Ozarbayjon;azərbaycan dili;false
ba;Boshqird;Башҡорт теле;false
be;Belarus;Беларуская;false
bg;Bolgar;български език;false
bh;Bihar;भोजपुरी;false
bi;Bislama;Bislama;false
bm;Bambara;bamanankan;false
bn;Bengal;বাংলা;false
bo;Tibet;བོད་ཡིག;false
br;Breton;brezhoneg;false
bs;Bosniya;bosanski jezik;false
ca;Katalan;Català;false
ce;Chechen;нохчийн мотт;false
ch;Shivir;Chamoru;false
co;Korssikan;corsu / lingua corsa;false
cr;Kri;ᓀᐦᐃᔭᐍᐏᐣ;false
cs;Chex;česky / čeština;false
cv;Chuvash;чӑваш чӗлхи;false
cy;Uelsh;Cymraeg;false
da;Daniyalik;dansk;false
de;Nemis;Deutsch;false
dv;Divehi (Maldiv);ދިވެހިބަސް /dhivehi;false
dz;Dzong-ke;རྫོང་ཁ;false
ee;Ave;Ɛʋɛgbɛ;false
el;Yunon (nova);Ελληνικά;false
en;Inglizcha;English;false
eo;Esperanto;Esperanto;false
es;Ispan;español / castellano;false
et;Eston tili;Eesti keel;false
eu;Bask;euskara;false
fa;Fors tili;فارسی;true
ff;Fulah;Fulfulde;false
fi;Fin tili;suomen kieli;false
fj;Fidji;vosa Vakaviti;false
fo;Farer;Føroyskt;false
fr;Fransuz;français / langue française;false
fy;Frizlik;Frysk;false
ga;Irland;Gaeilge;false
gd;Galskiy;Gàidhlig;false
gl;Galika;Galego;false
gn;Guaraniy;Avañe'ẽ;false
gu;Gujarati;ગુજરાતી;false
gv;Manx tili;Ghaelg;false
ha;Hausa tili;‫هَوُسَ;true
he;Ibroniycha (zamonaviy);‫עברית;true
hi;Hind tili;हिन्दी / हिंदी;false
ho;Xirimotu;Hiri Motu;false
hr;Xorvat;Hrvatski;false
ht;Gaiti Creolyskiy;Kreyòl ayisyen;false
